"","sgNfe2l1","sgNfe2l2","doubleKO"
"Ehd4",0,0,0
"Vps39",0,0,0
"Tmem87a",0,0,0
"Zfp106",0,0,0
"Snap23",0,0,0
"Lrrc57",0,0,0
"Haus2",0,0,0
"Ubr1",0,0,0
"Ccndbp1",0,0,0
"Zscan29",0,0,0
"Tubgcp4",0,0,0
"Trp53bp1",0,0,0
"Ppip5k1",0,0,0
"Pdia3",0,0,0
"Serf2",0,0,0
"Hypk",0,0,0
"Mfap1b",0,0,0
"Mfap1a",0,0,0
"Ctdspl2",0,0,0
"Eif3j1",0,0,0
"Spg11",0,0,0
"Patl2",0,0,0
"B2m",0,0,0
"Sord",0,0,0
"Slc28a2",0,0,0
"Gatm",0,0,0
"AA467197",0,0,0
"Slc30a4",0,0,0
"Bloc1s6",0,0,0
"Sqor",0,0,0
"Sema6d",0,0,0
"Slc24a5",0,0,0
"Myef2",0,0,0
"Dut",0,0,0
"Cep152",0,0,0
"Eid1",0,0,0
"Secisbp2l",0,0,0
"Cops2",0,0,0
"Galk2",0,0,0
"Dtwd1",0,0,0
"Atp8b4",0,0,0
"Hdc",0,0,0
"Gabpb1",0,0,0
"Usp8",0,0,0
"Usp50",0,0,0
